id,jan,feb,mar,apr,may,jun,july,aug,sep,oct,nov,dec
blk1_1,0.00,1604.16,1209.00,1261.00,,,,,,,,
blk1_2,0.00,1527.04,1162.00,1260.00,,,,,,,,
blk1_3,0.00,2133.91,1830.00,2316.00,,,,,,,,
blk1_4,0.00,3448.29,2882.00,2780.00,,,,,,,,
blk1_5,0.00,867.91,791.00,845.00,,,,,,,,
blk1_6,0.00,455.20,0.00,0.00,,,,,,,,
blk1_7,0.00,1168.58,908.00,908.00,,,,,,,,
blk1_8,0.00,1069.92,876.00,787.00,,,,,,,,
blk1_9,0.00,0.00,636.00,743.00,,,,,,,,
blk1_10,0.00,939.36,741.00,564.00,,,,,,,,
blk1_11,0.00,1220.80,1067.00,1164.00,,,,,,,,
blk1_12,0.00,1303.33,1256.00,1198.00,,,,,,,,
blk1_13,0.00,1490.24,1346.00,1166.00,,,,,,,,
blk1_14,0.00,1424.96,1114.00,1116.00,,,,,,,,
blk1_15,0.00,783.74,458.00,440.00,,,,,,,,

blk2_1,0.00,2108.03,1880.00,1832.00,,,,,,,,
blk2_2,0.00,1754.52,1413.00,1420.00,,,,,,,,
blk2_3,0.00,786.96,437.00,455.00,,,,,,,,
blk2_4,0.00,3221.21,2296.00,2675.00,,,,,,,,
blk2_5,0.00,1739.31,1446.00,1518.00,,,,,,,,
blk2_6,0.00,1573.33,1370.00,901.00,,,,,,,,
blk2_7,0.00,1680.16,689.00,300.00,,,,,,,,
blk2_8,0.00,1686.03,1503.00,1780.00,,,,,,,,
blk2_9,0.00,761.44,736.00,348.00,,,,,,,,
blk2_10A,0.00,1782.24,1162.00,1500.00,,,,,,,,
blk2_10B,0.00,1833.28,1540.00,1837.00,,,,,,,,

blk3_1,0.00,2205.77,1682.00,1885.00,,,,,,,,
blk3_2,0.00,1307.77,973.00,1057.00,,,,,,,,
blk3_3,0.00,1133.57,925.00,1059.00,,,,,,,,
blk3_4,0.00,1165.47,925.00,924.00,,,,,,,,
blk3_5,0.00,1052.37,703.00,650.00,,,,,,,,
blk3_6,0.00,0.00,0.00,0.00,,,,,,,,

blk4_1,0.00,1499.48,1162.00,1272.00,,,,,,,,
blk4_2,0.00,1938.83,1540.00,1591.00,,,,,,,,
blk4_3,0.00,0.00,495.00,559.00,,,,,,,,
blk4_4,0.00,1578.08,1067.00,1318.00,,,,,,,,
blk4_5,0.00,1393.98,594.00,663.00,,,,,,,,
blk4_6,0.00,1373.92,973.00,1020.00,,,,,,,,

blk5_1,0.00,1808.37,1351.00,1574.00,,,,,,,,
blk5_2,0.00,914.56,925.00,1010.00,,,,,,,,
blk5_3,0.00,1311.19,1114.00,1134.00,,,,,,,,
blk5_4,0.00,3393.27,2324.00,2559.00,,,,,,,,
blk5_5,0.00,2190.56,1729.00,1857.00,,,,,,,,
blk5_6,0.00,863.52,500.00,639.00,,,,,,,,

blk6_1,0.00,745.82,547.00,521.00,,,,,,,,
blk6_2,0.00,965.60,769.00,852.00,,,,,,,,
blk6_3,0.00,1322.88,1020.00,1116.00,,,,,,,,
blk6_4A,0.00,2090.83,1900.00,1890.00,,,,,,,,
blk6_4B,0.00,1527.04,760.00,937.00,,,,,,,,
blk6_4C,0.00,1258.36,925.00,987.00,,,,,,,,